Experimento,Época seleccionada,L1_hole,LPIPS_hole,Radio de suavizado,Familia
EXP_01,21,0.01784267825340586,0.047375494348151345,0.0,Máscara dura
EXP_02,21,0.01882138881566269,0.049942697664456706,0.0,Máscara dura
EXP_07,27,0.017495573731139302,0.048008566057043414,0.0,Máscara dura
EXP_08,30,0.01687793999112078,0.043037302792072296,0.0,Máscara dura
EXP_09,26,0.016781004312049066,0.04648863524198532,0.0,Máscara dura
EXP_10,25,0.017623335289369737,0.06641055789909192,2.0,Máscara suavizada
EXP_11,58,0.016586200733269964,0.059260549555931775,3.0,Máscara suavizada
EXP_13A,23,0.018791133937026774,0.07600455970636436,3.0,Dos fases
EXP_13B,58,0.016586200733269964,0.059260549555931775,3.0,Dos fases
